,video_id,comment_id,author_id,author_name,comment_text,published_at
63,BaITjgnDKbs,Ugy_3nxZXCs0D6A6viF4AaABAg,UCNzX-jd_wCvBfD6P3LaAjxg,@danielabosch7484,"Y por poner flores ya? Se debe dar la información del accidente. Claudia, poner lo que se quiere a los marinos no es suficiente. Hay que dar resultado de las investigaciones. Por qué no poner la bandera del Zócalo a media asta?",2025-05-19T16:35:43Z
64,BaITjgnDKbs,Ugzexy_ohGSAmlsUtlR4AaABAg,UCtri8RyuCW5xlwX5wYJSr_g,@pedrocalderongarcia2503,🌅🪻🪻🌄💯💯💯👀👀👀👃👃👃👌👍✌️💫💫💫💫,2025-05-19T16:34:45Z
65,BaITjgnDKbs,UgxEo9OjVyuLKk9mQGx4AaABAg,UCWLCc7lcC3q6-_d8Ou4zNcw,@FranciscoAguilarVitela,Que tienen que hacer colombianas en la mañanera preguntando sobre asuntos nacionales,2025-05-19T16:34:30Z
66,BaITjgnDKbs,UgxviylsPVWapOJ94m54AaABAg,UCQHYz32MoFnzwvgFbpBHEXA,@AntoniaRuiz-d3y,Se presenten en la mañanera los candidatos y candidatas al poder judicial... no sabemos por quien votar,2025-05-19T16:34:26Z
67,BaITjgnDKbs,UgxDB-gU0ZllAiN_uCJ4AaABAg,UCdFsBitSl3ayYh2lVZjUThg,@bikerrandom5393,Saludos desde New York te amamos presidenta,2025-05-19T16:33:42Z
68,BaITjgnDKbs,UgwUbEhYvH9W0O6L9Dd4AaABAg,UCBn14xzqEhmI_Jd_mFG2D5Q,@en5minutosnoticias845,❤,2025-05-19T16:33:40Z
69,BaITjgnDKbs,UgwYGwqBcKwwadQh6L14AaABAg,UCu80GwGiw_uKENrPJIYyrHQ,@FernandoRodriguez-jk2fr,"AGUAS CON LOS ANTROS PARA JOVENES !!!
QUE PROLIFERAN COMO HONGOS 
POR TODAS LAS CIUDADES DE MEXICO
A SOLO 2 C UADRAS DE LOS CENTROS EDUCATIVOS 
DE TODOS LOS NIVELES...
DONDE SE EMBRIAGAN CON ALCOHOL, CERVEZA Y DROGAS ???
A SOLO 2 CUADRAS DE LOS CENTROS EDUCATIVOS DE TODOS LOS NIVELES ...
QUIEN SE HACE DE LA VISTA GORDA ???
QUIEN LOS AUTORIZA  ???
TODOS SON COTOS DE LOS TRAFICANTES  ???
SUCEDE LOS MISMO CON EL USO DE PLAYAS DONDE AL TURISMO INTERNACIONAL TODO SE LE PERMITE Y AL PUEBLO LE IMPIDEN HASTA CON VIOLENCIA SENTARSE EN 2 METROS DE PLAYA  !!!
AUNQUE USTED SI .LO CREA !!!
Y CONTANDO",2025-05-19T16:32:02Z
70,BaITjgnDKbs,Ugwsu_wjgAcxoLjbTeN4AaABAg,UCL5YCSDYGLpZYk5lQmj8cCA,@salvadorcovarrubias854,Igual sí se puede decir estudiantes los de Ayotzinapa actúan como si el PRI y el pan gobernarán revoltosos y gandallas an muerto personas por su culpa la única escuela gandallas,2025-05-19T16:29:28Z
71,BaITjgnDKbs,UgwujPbrkg93GR_4tLV4AaABAg,UCWLCc7lcC3q6-_d8Ou4zNcw,@FranciscoAguilarVitela,"Por favor mas calidad en las preguntas, hacen puras preguntas tontas, lo hacen como si fuesen personas chismosas y no periodistas, a la gente le interesa saber sobre temas más relevantes",2025-05-19T16:29:07Z
72,BaITjgnDKbs,Ugyt2YHAKXgijgOz-SN4AaABAg,UCNI7E0VnzikpwOs7WpMsYYw,@aurelioflores2022,Cuantos barcos con huachicol estuvieron robando durante 50 años!!! Incluyendo gente de 🇺🇸,2025-05-19T16:26:43Z
73,BaITjgnDKbs,UgxB0g3H9y0I0OSEYOF4AaABAg,UCL5YCSDYGLpZYk5lQmj8cCA,@salvadorcovarrubias854,Los maestros son ingratos y gandallas el presidente les regreso la dignidad y la presidenta los sigue apoyando los directivos del sindicato siempre an Sido marranos,2025-05-19T16:22:49Z
74,BaITjgnDKbs,UgyFA3_8lD7nxL0a4u54AaABAg,UCySHsBwl8neMAOwoDxsOqMQ,@groznny,No MONETICEN la mañanera,2025-05-19T16:20:27Z
